"Checkout as Guest","以访客身份结账"
"Checkout as a Guest or Register","以访客身份结账或注册"
"Checkout with Multiple Addresses","使用多个地址结账"
"City","乡镇市区"
"Clear Shopping Cart","清空购物车"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","点选 <a href=""%s"" onclick=""this.target=\'_blank\'"">这里</a> 来印出您的订单确认"
"Click <a href=""%s"">here</a> to continue shopping.","点选 <a href=""%s"">这里</a> 继续选购"
"Close","关闭"
"Company","公司"
"Condition Name","条款名称"
"Configurable Product Image","客制化产品图片"
"Configure Cart Item","设定购物车产品"
"Confirm Password","确认密码"
"Content","内容"
"Content Height","内容显示高度"
"Content Height (css)","内容显示高度 (css)"
"Continue","继续"
"Continue Shopping","继续购物"
"Continue to Billing Information","继续账单信息"
"Continue to Review Your Order","继续查看订单"
"Continue to Shipping Information","继续配送信息"
"Country","国家"
"Coupon code ""%s"" is not valid.","优惠券代码""%s""有误"
"Coupon code ""%s"" was applied.","使用优惠券代码 ""%s"""
"Coupon code was canceled.","取消优惠券代码"
"Create Billing Address","建立账单地址"
"Create Shipping Address","建立配送地址"
"Create an order from shopping cart","从购物车中建立订单"
"Create shopping cart","建立购物车"
"Customer Address is not valid.","客户地址有误"
"Customer Information","客户信息"
"Customer's information","客户信息"
"Data saving problem","保存数据错误"
"Default Billing","预设账单"
"Default Shipping","预设配送"
"Delete Condition","删除条款"
"Details","细节"
"Disabled","停用"
"Discount Codes","优惠券代码"
"Display Cart Summary","购物车显示"
"Display Shopping Cart Sidebar","显示购物车侧栏"
"Display item quantities","产品数量"
"Display number of items in cart","产品品种的数量"
"Display number of items in wishlist","显示待购列表夹产品"
"Easy access to your order history and status","方便查阅订单记录和订单状态"
"Edit","编辑"
"Edit Address","编辑地址"
"Edit Billing Address","编辑账单地址"
"Edit Condition","编辑条件"
"Edit Items","编辑产品"
"Edit Shipping Address","编辑配送地址"
"Edit Terms and Conditions","编辑条款"
"Edit Your Cart","编辑购物车"
"Edit item","编辑产品"
"Edit item parameters","编辑产品参数"
"Email Address","电子信箱"
"Enable Onepage Checkout","开启单页结账"
"Enable Terms and Conditions","开启购买条款"
"Enabled","开启"
"Enter a New Address","输入新的地址"
"Enter your coupon code if you have one.","如果有优惠券代码，请输入"
"Enter your destination to get a shipping estimate.","输入目的地估计运费"
"Estimate Shipping and Tax","预估运费及税"
"Excl. Tax","未税"
"Fast and easy check out","快速方便结账"
"Fax","传真"
"Forgot an Item?","忘记产品了？"
"Forgot your password?","忘记密码了？"
"Get a Quote","询价"
"Get list of available payment methods","获得可用付款方式列表"
"Get list of available shipping methods","获得可用配送方式列表"
"Get list of products in shopping cart","获得购物车中产品列表"
"Get terms and conditions","获得条款与规则"
"Get total prices for shopping cart","取得购物车全部价格"
"Gift Message","礼物讯息"
"Grand Total:","总计："
"Grouped Product Image","组合产品的图片"
"HTML","HTML"
"ID","ID"
"Incl. Tax","含税"
"Invalid checkout type.","结账类型错误"
"Invalid data.","数据错误"
"Invalid email address ""%s""","信箱有误 ""%s"""
"Invalid method: %s","有误方法： %s"
"Invalid shipping method.","配送方式有误"
"Item not found or already ordered","产品不存在或已经预定"
"Items","件产品"
"Items After","之后产品"
"Items Before","之前产品"
"Load customer quote error","加载客户询价错误"
"Loading next step...","载入下一步.."
"Login","登入"
"Login/Registration Before","请先登入/注册来"
"Manage Terms and Conditions","管理约定与条件"
"Maximum Display Recently Added Item(s)","最近增加产品最大显示数"
"Maximum qty allowed for Shipping to multiple addresses is %s","允许的配送来源址数量为%s"
"Minimum order amount is %s","订单金额下限为 %s"
"Move","移动"
"Move to Wishlist","移到待购清单"
"Multishipping Checkout","多收件人结账"
"Multishipping Checkout Address (Any) Form","多收件人结账 地址表格"
"Multishipping Checkout Billing Address Creation","多收件人结账 账单地址建立"
"Multishipping Checkout Billing Address Edit Form","多收件人结账 账单地址编辑表格"
"Multishipping Checkout Billing Address Selection","多收件人结账 账单地址选择"
"Multishipping Checkout Billing Information Step","多收件人结账 账单信息步骤"
"Multishipping Checkout Customer Address Edit Form","多收件人结账 客户地址编辑表格"
"Multishipping Checkout Overview","多收件人结账总览"
"Multishipping Checkout Shipping Address Creation","多收件人结账 送货地址建立"
"Multishipping Checkout Shipping Address Edit Form","多收件人结账 送货地址编辑表格"
"Multishipping Checkout Shipping Address Selection","多收件人结账 地址选择"
"Multishipping Checkout Shipping Information Step","多收件人结账 送货信息步骤"
"Multishipping Checkout Success","多收件人结账成功"
"My Cart","我的购物车"
"My Cart (%s item)","我的购物车(%s件产品)"
"My Cart (%s items)","我的购物车(%s件产品)"
"My Cart Link","我的购物车"
"New Address","新的地址"
"New Condition","新的条件"
"New Terms and Conditions","新增约定与条件"
"No Payment Methods","没有付款方式"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","订单金额在送出前会显示"
"One Page Checkout","单页结账"
"One Page Checkout Failure","单页结账失败"
"One Page Checkout Overview","单页结账总览"
"One Page Checkout Success","单页结账成功"
"One item of products do not have identifier or sku","一个品项没有识别符号或 sku"
"One item of products is not belong any of quote item","一个品项没有归类在任何报价产品"
"Order #","订单 #"
"Order Review","查看订单"
"Order Success","订单成功"
"Order place error.","订购失败"
"Other Items in Your Order","您订购的其他产品"
"Overview Items After","之后产品总览"
"Password","密码"
"Payment Failed Email Reciever","付款失败信件收件人"
"Payment Failed Email Sender","付款失败信件寄件人"
"Payment Failed Emails","付款失败信箱"
"Payment Failed Template","付款失败信件样板"
"Payment Information","付款信息"
"Payment Method","付款方式"
"Payment Methods After Checkout Button","结账按键之后的付款方式"
"Payment Methods Before Checkout Button","结账按键之前的付款方式"
"Payment method information","付款方式信息"
"Payment method is not defined","付款方式为定义"
"Payment methods in shopping cart","购物车中的付款方式"
"Payment profile # %s: ""%s"".","付款设定 # %s: ""%s"""
"Place Order","下订单"
"Please agree to all Terms and Conditions before placing the order.","在下订单之前请选择同意所有购买条款"
"Please agree to all Terms and Conditions before placing the orders.","在下订单之前请选择同意所有购买条款"
"Please agree to all the terms and conditions before placing the order.","在提交订单之前请选择同意所有的购买条款"
"Please check billing address information.","请检查付款住址信息"
"Please check shipping address information.","请检查配送住址信息"
"Please check shipping addresses information.","请检查配送住址信息"
"Please choose to register or to checkout as a guest","请选择注册或是以访客身份结账"
"Please log in below:","请在下面登入："
"Please select region, state or province","请选择县市或地区"
"Please select shipping address for applicable items","请选择产品配送地址"
"Please select shipping methods for all addresses","请选择所有地址的配送方式"
"Please select valid payment method.","请选择正确的付款方式"
"Please specify payment method.","请指定付款方式"
"Please specify shipping method.","请指定配送方式"
"Please specify shipping methods for all addresses.","请指定所有住址的配送方式"
"Price","价格"
"Proceed to Checkout","结账"
"Product","产品"
"Product Name","产品名称"
"Products","产品"
"Qty","数量"
"Qty:","数量："
"Quantity was recalculated from %d to %d","从 %d 到 %d 的数量重新计算"
"Quote Lifetime (days)","报价有效期 (天)"
"Quote item does not exist.","引用产品不存在"
"Quote item is not found.","没有找到引用产品"
"Recently added item(s)","新增产品"
"Register","注册"
"Register and save time!","注册节省时间！"
"Register to Create an Account","注册账号"
"Register with us for future convenience:","注册账号，方便以后的操作："
"Remove Item","删除产品"
"Remove This Item","删除这个产品"
"Remove coupon code from shopping cart","从购物车中删除优惠券代码"
"Remove item","删除记录"
"Remove product from shopping cart","从购物车删除产品"
"Remove product(s) from shopping cart","从购物车删除产品"
"Require Customer To Be Logged In To Checkout","您需要登入才能够继续进行结账"
"Retrieve information about shopping cart","取得购物车信息"
"Review Order","查看订单"
"Review Order - %s","查看订单 - %s"
"Sales","销售"
"Save Condition","保存条款"
"Save in address book","保存到通讯簿"
"See price before order confirmation.","在订单确认前检视价格"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择配送方式"
"Select State/Province...","选择县市.."
"Select a billing address from your address book or enter a new address.","从您的通讯簿中选择账单地址，或者输入新的地址"
"Select a shipping address from your address book or enter a new address.","从您的通讯簿中选择送货地址，或者输入新的地址"
"Send Payment Failed Email Copy Method","付款失败信件副本发送方式"
"Send Payment Failed Email Copy To","发送付款失败信件副本到"
"Send To","收货人"
"Separate by "","".","用 "",""隔开"
"Set customer for shopping cart","设定客户购物车"
"Set customer's addresses in shopping cart","设定客户购物车中的地址"
"Set payment method","设定付款方式"
"Set shipping method","设定配送方法"
"Ship to Multiple Addresses","配送到多个地址"
"Ship to different address","配送到不同地址"
"Ship to this address","配送到该地址"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shipping Methods","配送方式"
"Shipping To","收货地址"
"Shipping information","配送信息"
"Shipping method has not been selected yet","还未选择配送方式"
"Shipping methods in shopping cart","购物车中的配送方式"
"Shipping selection is not applicable.","无法进行配送选择"
"Shopping Cart","购物车"
"Shopping Cart Form Before","之前的购物车表格"
"Shopping Cart Sidebar","购物车侧栏"
"Shopping Cart Sidebar Extra Actions","购物车侧栏额外操作"
"Shopping Cart is Empty","购物车是空的"
"Shopping cart ability to set coupon code","购物车允许设定优惠券代码"
"Show Content as","内容显示格式"
"Some of the requested products are not available in the desired quantity.","部分请求产品没有要求的数量"
"Some of the requested products are unavailable.","部分产品没有存货"
"Some products quantities were recalculated because of quantity increment mismatch","由于数量增加不符合，部分产品数量重新计算"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","对不起，未开启访客结账功能。请重试或者联络店主"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价"
"State/Province","县市"
"Status","状态"
"Store View","商店视图"
"Street Address","地址行一"
"Street Address %s","街道巷弄 %s"
"Submitting order information...","送出订单信息.."
"Subtotal","小计"
"Subtotal must exceed minimum order amount","小计金额必须超过订单金额下限"
"Telephone","电话"
"Terms and Conditions","条款"
"Terms and Conditions Information","条款信息"
"Terms and conditions","条款与条件"
"Text","纯文本"
"Thank you for your purchase!","感谢您的惠顾！"
"The condition has been deleted","该条款已经删除"
"The condition has been saved.","该条款已经保存"
"The onepage checkout is disabled.","一页付款停用"
"The product could not be found.","找不到该产品"
"The product does not exist.","该产品不存在"
"There are <a href=""%s"">%s items</a> in your cart.","您的购物车有 <a href=""%s"">%s 个</a> 产品"
"There is <a href=""%s"">1 item</a> in your cart.","您的购物车有 <a href=""%s"">1个</a> 产品"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","这个信箱已经有其他会员使用，请透过这个信箱登入，或是透过其他信箱进行注册"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联络我们或稍后再试"
"This condition no longer exists.","此条款不存在"
"Total","总计"
"Total for this address","该地址总计"
"Unable to set Payment Method.","无法设在付款方法"
"Unit Price","单价"
"Update Cart","更新购物车"
"Update Qty &amp; Addresses","更新数量和地址"
"Update Shopping Cart","更新购物车"
"Update Total","更新总额"
"Update product quantities in shopping cart","更新购物车产品数量"
"Update product(s) quantities in shopping cart","更新购物车产品数量"
"Use Billing Address","使用账单地址"
"VAT Number","欧洲 VAT 编号"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正处理您的订单，您很快会收到含有订单详细内容的信件。订单配送后，您会收到另一封含有查询订单状态链接的信箱"
"What's this?","这是什么？"
"You have no items in your shopping cart.","您的购物车中没有产品"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您会收到订单确认信件，包含详细的订单内容以及查询订单状态的链接"
"Your Checkout Progress","您的结账进度"
"Your billing agreement # is: %s.","您的付款协议 # 是： %s"
"Your order # is: %s.","您的订单编号： %s"
"Your order cannot be completed at this time as there is no payment methods available for it.","您的订单无法完成，因为目前没有可用的付款方式"
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","您的订单无法完成，因为目前没有可用的配送方式，请针对配送住址进行必要的更动"
"Your order has been received.","我们已经收到您的订单"
"Your order number is ","您的订单编号码是"
"Your recurring payment profiles:","您的定期付款设定："
"Zip/Postal Code","邮政编码"
